MMSI,Suspicious
2182807,0
2182809,0
2190045,0
2190047,0
2190048,0
2190049,0
2190051,0
2190052,0
2190064,0
2190065,0
2190066,0
2190067,0
2190068,0
2190069,0
2190071,0
2190072,0
2190073,0
2190074,0
2190075,0
2190076,0
2190077,0
2194005,0
2194006,0
2194016,0
2442001,0
2442002,0
2573115,0
2573135,0
2573145,0
2579999,1782
2614400,0
2614700,0
2655021,0
2655125,0
2655130,0
2655135,0
2655140,0
2655146,0
2655148,0
2655150,0
2655153,0
2655170,0
2655185,0
97000090,0
111211511,321
111219513,1019
111219516,1485
111219519,124
111219520,1239
111265132,234
111265530,104
111265544,183
111265581,170
203247191,0
205196000,0
205210000,0
205214000,0
205482000,2
205689000,0
209014000,1
209114000,0
209144000,0
209151000,0
209183000,0
209184000,6
209216000,0
209275000,0
209325000,2
209336000,4
209391000,0
209392000,0
209449000,3
209525000,1
209530000,3
209535000,0
209536000,0
209610000,21
209664000,0
209672000,0
209702000,0
209717000,1
209731000,0
209864000,4
209867000,0
209970954,0
209982000,0
210051000,0
210071000,0
210095000,0
210155000,0
210164000,0
210174000,1
210189000,0
210253000,0
210281000,0
210290000,1
210299000,0
210307000,0
210332000,0
210350000,0
210359000,8
210387000,0
210399000,9
210425000,7
210455000,0
210510000,2
210525000,4
210547000,8
210549000,8
210552000,1
210586000,3
210731000,0
211100000,0
211101000,0
211101770,0
211105560,0
211105660,0
211105990,0
211113790,0
211130000,0
211130870,0
211135000,16
211138490,0
211141000,0
211147180,0
211150070,0
211152520,0
211156800,0
211158000,0
211168190,0
211169660,0
211181950,0
211187510,0
211188000,8
211190000,3
211192000,0
211200150,0
211202400,0
211202570,0
211202970,0
211205810,0
211206770,0
211207100,0
211208350,0
211209290,0
211210120,0
211210180,0
211210380,0
211211230,0
211211460,1
211211850,0
211212200,0
211212690,0
211214250,0
211215700,1
211216490,0
211216500,0
211219990,2
211222290,0
211222960,0
211223240,0
211223310,0
211224140,0
211224320,0
211224560,0
211224660,0
211225300,0
211225340,0
211225350,0
211225920,0
211226140,0
211226220,0
211226940,0
211226990,0
211227550,0
211243440,0
211243920,0
211247120,0
211255580,0
211265610,0
211266470,0
211267710,0
211269660,1
211269680,4
211269690,0
211274960,0
211277080,0
211278920,0
211282410,0
211282710,0
211282860,0
211282862,0
211282863,0
211282864,0
211283440,0
211284050,0
211284350,0
211286440,3
211290730,0
211290750,0
211291150,0
211291160,0
211291170,0
211293510,0
211293880,0
211297990,0
211298490,0
211301380,0
211302570,0
211302790,2
211305200,0
211312160,0
211316340,0
211317180,13
211319670,0
211324470,0
211325200,0
211325510,0
211333700,18
211334410,0
211337780,0
211341960,0
211356520,0
211362530,0
211363300,0
211364330,0
211369510,0
211376820,0
211379770,0
211383360,0
211395390,0
211395930,0
211398000,0
211399000,0
211400260,0
211404810,0
211405010,0
211409660,0
211410690,8
211411230,0
211413470,0
211417590,1
211440340,0
211440370,0
211444890,0
211445190,0
211445220,0
211447960,0
211452000,0
211457700,0
211460410,0
211460690,0
211462760,0
211464420,0
211473470,0
211474990,0
211477060,4
211493380,3
211512630,0
211514540,0
211516210,0
211517200,0
211519000,0
211532870,0
211534760,1
211543450,0
211543850,0
211546740,1
211548430,0
211549160,0
211549170,0
211551940,3
211552710,0
211572830,0
211590700,0
211593750,0
211594520,0
211594530,0
211601590,0
211603970,0
211609560,0
211611070,0
211613730,2
211614010,0
211624750,0
211624870,0
211629290,0
211632740,0
211634540,0
211647900,0
211648000,0
211651920,0
211673560,0
211673570,0
211686000,0
211691020,0
211701340,0
211718360,0
211727510,8
211731030,0
211736820,0
211757470,0
211757540,0
211771340,0
211782080,0
211783270,0
211784710,0
211789170,0
211795250,0
211796430,0
211798910,0
211800420,0
211805140,0
211807040,0
211812920,0
211815680,4
211815690,0
211817600,0
211817650,1
211824000,0
211833370,0
211833390,2
211836130,0
211839040,0
211857440,0
211865680,0
211866190,0
211869710,3
211870240,7
211872380,0
211872870,1
211878330,0
211881570,0
211910000,0
212006000,3
212372000,7
212499000,0
212519000,0
212536000,2
212613000,0
212797000,0
212882000,3
212900000,5
212934000,2
215064000,0
215116000,0
215178000,1
215382000,4
215468000,17
215489000,34
215516000,0
215622000,1
215644000,0
215793000,0
